"date","PM2.5DailyMean","PM2.5DailyMax","PM2.5DailyMin","tavg","tmin","tmax","prcp","wdir","wspd","pres","month","year"
"2020-01-01",8.1,22.6,1.3,21,17,30,80,NA,5.5,1015.3,1,2020
"2020-01-02",6.8,24.6,1.7,20.4,18,28.8,59.9,21,9.1,1016.6,1,2020
"2020-01-03",3.7,9.5,0,19.6,17,26,18,334,8.4,1018.4,1,2020
"2020-01-04",8.9,22.9,0,20.4,16.8,29,55.9,194,8.1,1017.6,1,2020
"2020-01-05",8.9,22.2,3.8,22,17,29,2,129,8,1016.3,1,2020
"2020-01-06",8.5,24.6,2.9,23.1,17,29,0,120,10.2,1017.3,1,2020
"2020-01-07",-62.2,11.1,-999,21.4,17,32,NA,81,8.1,1018.7,1,2020
"2020-01-09",-84.3,14.2,-999,22.1,17.8,28,NA,119,10.6,1018.8,1,2020
"2020-01-10",9.8,28.3,1.3,22.1,18,28,NA,127,10.5,1018.8,1,2020
"2020-01-11",11.6,23.5,4.1,20.9,14.5,29,NA,121,12.5,1018.6,1,2020
"2020-01-12",13.7,27.4,6.2,21.9,16,28.6,NA,110,10,1018.2,1,2020
"2020-01-13",15,36.4,6.3,22.1,18,28,NA,96,7.7,1016.7,1,2020
"2020-01-14",8.7,17.2,3,22.1,17,28,NA,110,11.8,1018,1,2020
"2020-01-15",-36.5,20.3,-999,22.3,17,29.2,NA,109,10.8,1019.2,1,2020
"2020-01-16",8.3,15.4,2.1,22.2,19.8,29.2,NA,111,12.1,1018.2,1,2020
"2020-01-17",10.5,28.7,0.6,22,19,28.4,6.1,22,6.1,1016.8,1,2020
"2020-01-18",4.5,9.3,0,22.3,19,28.4,0,344,4.8,1015.5,1,2020
"2020-01-19",3.3,6.7,0.2,21.7,19,28.3,17,320,10.3,1014.5,1,2020
"2020-01-20",4.4,10.5,0,20.9,18.9,28.3,9.9,333,7.5,1013.1,1,2020
"2020-01-21",11.1,41.2,0.1,19.8,19,26,13,75,8.1,1012.2,1,2020
"2020-01-22",8.6,17.9,1.5,18.4,17,22.2,35.1,119,10.8,1012.1,1,2020
"2020-01-23",7,18.1,0.3,18.8,17,21.7,26.9,191,10.1,1011.8,1,2020
"2020-01-24",11.2,22.3,1.4,21.7,18,28,20.1,80,6.1,1016.3,1,2020
"2020-01-25",7.1,17,1.2,20.7,18,28.1,0,132,12.2,1019.2,1,2020
"2020-01-26",6.6,11.4,0,20.3,18,26,NA,118,9.8,1020.1,1,2020
"2020-01-27",14.1,32.5,0.7,20.6,16,26.7,1,126,8.1,1019.1,1,2020
"2020-01-28",8.8,15,3.6,22.8,18.7,29,1,42,6.5,1016.7,1,2020
"2020-01-29",10.7,27.8,4.5,24.1,19.6,30.1,9.9,37,6.9,1017.5,1,2020
"2020-01-30",15.7,25.4,8.2,22.9,19.5,30.6,0,98,9.9,1019,1,2020
"2020-01-31",11.9,25.8,3.2,21.7,18,28.7,2,112,14.5,1019.5,1,2020
"2020-02-01",10.3,20.1,5.7,20.9,16,27,0,125,15.1,1020.6,2,2020
"2020-02-02",10.6,18.3,6.1,20.1,16,27,NA,149,10.8,1022.1,2,2020
"2020-02-03",9.9,21.1,2.2,20.8,15.8,26,NA,152,12.8,1021.2,2,2020
"2020-02-04",8.9,16,1.4,19.9,17,26,0.5,132,11.4,1020.3,2,2020
"2020-02-05",12.8,38.1,6.7,20.6,15,26,7.9,123,12,1020.3,2,2020
"2020-02-06",8.4,22,3,21.8,16,28,0,128,11.7,1020.3,2,2020
"2020-02-07",10.5,21.1,1.9,22.2,17,29.3,NA,135,8.3,1020.5,2,2020
"2020-02-08",12.5,23.5,5.5,21.9,14,29,NA,99,8.5,1021,2,2020
"2020-02-09",11.2,20.4,5.4,21.6,17,29.4,NA,125,10.8,1020.5,2,2020
"2020-02-10",14.4,27.8,4.5,22.5,16,30,NA,123,9,1018.3,2,2020
"2020-02-11",13.1,24.4,3.3,22.8,17,30,NA,107,8.2,1016.6,2,2020
"2020-02-12",13.1,23.1,7.5,22.1,16,29.9,NA,151,11.1,1016.4,2,2020
"2020-02-13",13.8,25.2,5.9,21.7,18,28.9,NA,160,9.4,1017.8,2,2020
"2020-02-14",12.6,34.2,5.8,22.4,18.7,28,NA,180,9.5,1017.9,2,2020
"2020-02-15",6.3,13.5,3,21.7,18,29.1,NA,254,9.6,1017.1,2,2020
"2020-02-16",6.5,14.8,0.2,20.3,18,29.1,11.2,113,8.7,1018,2,2020
"2020-02-17",5.7,15,0.9,22.1,18,28,23.9,123,13,1019.7,2,2020
